id;name;ip_address;port;shared_secret
1;global dot-com;user-centric Steel Music;83023;payment
2;Incredible Soft Computer;Bedfordshire European Unit of Account 9(E.U.A.-9);80386;generate
3;archive deliver;knowledge base Secured;35358;Slovakia (Slovak Republic)
4;ubiquitous Wooden;Unbranded Fresh Bike bandwidth grey;93850;envisioneer
5;purple Forward matrix;cross-platform Borders Small;87161;brand Practical Small Wooden Pants
6;implement invoice;Security;29973;whiteboard
7;hierarchy Unbranded Refined;Fiji Dollar;72305;Home Loan Account Personal Loan Account
8;Rapid;Incredible Rubber Gloves Polarised;99113;Estates Steel
9;Avon synergize Fresh;Directives;89749;Checking Account Health
10;transmitter;rich expedite;89609;Saudi Riyal
